what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867674165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867674428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867674672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867674926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867675334
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400867683491
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867687226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400867687917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400867688466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1400867688703
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867690567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400867690981
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867693546
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867693932
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400867694287
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400867695730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867696115
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867696659
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400867697103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400867697440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400867697808
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400867704310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867705113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867713494
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867717758
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867725187
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867727485
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1400867727808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867728272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400867728506
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867730000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400867730408
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400867730810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1400867733715
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1400867737971
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1400867738379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400867739716
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400867745145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867745945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867752434
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400867752453
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400867758995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867761463
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1400867762939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1400867762939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867762948
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400867764947
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400867766912
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1400867773648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867823800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867825749
error,log,,,"The program file specified in the launch configuration does not exist",1400867828782
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867828853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867830538
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1400867833929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867834258
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867835165
error,log,,,"The program file specified in the launch configuration does not exist",1400867837579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867837651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867841886
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1400867844552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867844884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867845557
error,log,,,"The program file specified in the launch configuration does not exist",1400867848402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867848465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867849890
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400867864180
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400867870598
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400867870619
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400867871408
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400867874847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867877488
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1400867877804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867877821
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867877897
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400867879014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867882622
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400867882626
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400867884370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867887368
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1400867887435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867887446
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400867887487
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400867888327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867888956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867894385
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1400867894404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867899771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867905644
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400867908471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867911360
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1400867911679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867911696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867911772
error,log,,,"Plug-in name.schedenig.eclipse.grepconsole was unable to load class name.schedenig.eclipse.grepconsole.adapters.GrepPageParticipant.",1400867912704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400867919831
